id,label,url,,shade,concern,finish,coverage,formulation,rating,brand,name, price ,skin type,skin tone,img,
makeup_1,primer,https://www.myntra.com/foundation-and-primer/lakme/lakme-absolute-blur-perfect-makeup-primer---mini-10g/13203912/buy,https://www.myntra.com/foundation-and-primer/lakme/lakme-absolute-blur-perfect-makeup-primer---mini-10g/13203912/buy,,brightening,luminous,medium ,gel,4.4,lakme,absolute blur perfect makeup primer - mini 10g," Rs. 1,270.00 ",dry,light to medium,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/13203912/2021/3/24/0f5fe5cb-696c-4cd5-a911-f1cec296f5e51616572811065-Lakme-Women-Foundation-and-Primer-4691616572807941-1.jpg",5
makeup_2,primer,https://www.myntra.com/foundation-and-primer/wet-n-wild/wet-n-wild-sustainable-photo-focus-natural-finish-setting-spray---seal-the-deal/12045972/buy,https://www.myntra.com/foundation-and-primer/wet-n-wild/wet-n-wild-sustainable-photo-focus-natural-finish-setting-spray---seal-the-deal/12045972/buy,Seal The Deal,,luminous,medium ,spray,4.3,wet n wild,sustainable photo focus natural finish setting spray - seal the deal," Rs. 2,270.00 ",normal,light to medium,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/12045972/2020/10/10/15635e29-2399-4820-9c91-e669d8b446f41602271086993WetnWildSustainablePhotofocusNaturalFinishSettingSpray-SealT1.jpg",
makeup_3,primer,https://www.myntra.com/foundation-and-primer/wet-n-wild/wet-n-wild-sustainable-photo-focus-matte-face-primer---partners-in-prime/12045988/buy,https://www.myntra.com/foundation-and-primer/wet-n-wild/wet-n-wild-sustainable-photo-focus-matte-face-primer---partners-in-prime/12045988/buy,Partners In Prime,,matte,medium ,cream,4.2,wet n wild,sustainable photo focus matte face primer - partners in prime," Rs. 2,270.00 ",normal,light to medium,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/12045988/2020/10/10/4bb7898e-95ec-4c73-a087-516264b57cfb1602270109131WetnWildSustainablePhotoFocusMatteFacePrimer-PartnersInPrime1.jpg",
makeup_4,primer,https://www.myntra.com/foundation-and-primer/faces-canada/faces-canada-ultime-pro-perfecting-primer-30ml/1605275/buy,https://www.myntra.com/foundation-and-primer/faces-canada/faces-canada-ultime-pro-perfecting-primer-30ml/1605275/buy,Neutral,Pore Minimizing and Blurring,matte,medium ,cream,4.5,faces canada,ultime pro perfecting primer 30ml," Rs. 3,595.00 ",oily,light to medium,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/1605275/2021/6/19/80125a2b-b7e2-4132-9170-93bd5ad7b3db1624081783069-FACES-CANADA-Ultime-Pro-Perfecting-Primer-30ml-2016240817827-1.jpg",
makeup_5,primer,https://www.myntra.com/foundation-and-primer/wet-n-wild/wet-n-wild-sustainable-photo-focus-dewy-face-primer---till-prime-dew-us-part/4425748/buy,https://www.myntra.com/foundation-and-primer/wet-n-wild/wet-n-wild-sustainable-photo-focus-dewy-face-primer---till-prime-dew-us-part/4425748/buy,Till Prime Do Us Part,Dryness,dewy,medium ,cream,4,wet n wild,sustainable photo focus dewy face primer - till prime dew us part," Rs. 2,270.00 ",normal,light to medium,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/4425748/2020/10/10/af18b742-c8c3-4855-9fa1-a366468d9bfe1602272004684WetnWildSustainablePhotofocusDewyFacePrimer-TillPrimeDewUsPa1.jpg",
makeup_6,primer,https://www.myntra.com/foundation-and-primer/sugar/sugar-base-of-glory-pore-minimizing-primer-30-ml/10992422/buy,https://www.myntra.com/foundation-and-primer/sugar/sugar-base-of-glory-pore-minimizing-primer-30-ml/10992422/buy,Clear,Pore Minimizing and Blurring,matte,full,cream,4.4,sugar,base of glory pore minimizing primer 30 ml," Rs. 3,995.00 ",all,medium to dark,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/10992422/2021/8/13/509ac116-3cc4-40b1-ac33-fc7bd8edb60d1628846584713SUGARBaseofGloryPoreMinimizingPrimer30ml1.jpg",
makeup_7,primer,https://www.myntra.com/foundation-and-primer/anastasia-beverly-hills/anastasia-beverly-hills-mini-eye-primer---l20ka/15693958/buy,https://www.myntra.com/foundation-and-primer/anastasia-beverly-hills/anastasia-beverly-hills-mini-eye-primer---l20ka/15693958/buy,L20KA,Fine Lines and Wrinkles,matte,medium ,cream,3.8,anastasia beverly hills,mini eye primer - l20ka," Rs. 7,450.00 ",normal,light to medium,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/15693958/2021/10/21/c4247a17-57cc-4320-b641-174615937f371634778151025-ANASTASIA-BEVERLY-HILLS-Women-Eyebrow-Enhancer-1371634778150-1.jpg",
makeup_8,primer,https://www.myntra.com/foundation-and-primer/makeup-revolution-london/makeup-revolution-london-ultra-face-base-primer-25ml/893764/buy,https://www.myntra.com/foundation-and-primer/makeup-revolution-london/makeup-revolution-london-ultra-face-base-primer-25ml/893764/buy,Translucent,Pore Minimizing and Blurring,luminous,full,liquid,4.3,makeup revolution london,ultra face base primer 25ml," Rs. 2,760.00 ",all,light to medium,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/893764/2018/4/12/11523508202986-Makeup-Revolution-London-Women-Skin-Care-Gift-Set-4301523508202965-1.jpg",
makeup_9,primer,https://www.myntra.com/foundation-and-primer/relove/relove-by-revolution-pore-vanish-primer-/15286252/buy,https://www.myntra.com/foundation-and-primer/relove/relove-by-revolution-pore-vanish-primer-/15286252/buy,,Acne or Blemishes,natural,full,gel,3.5,relove,by revolution pore vanish primer," Rs. 2,095.00 ",all,fair to light,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/15286252/2021/9/2/b763f34b-d838-4743-ab93-b02eb3df1a521630586990865-RELOVE-Women-Foundation-and-Primer-4631630586990739-1.jpg",
makeup_10,primer,https://www.myntra.com/foundation-and-primer/smashbox/smashbox-photo-finish-primer-water-116-ml/12278958/buy,https://www.myntra.com/foundation-and-primer/smashbox/smashbox-photo-finish-primer-water-116-ml/12278958/buy,Primer Water,,luminous,low,liquid,3.8,smashbox,photo finish primer water 116 ml," Rs. 9,950.00 ",all,light to medium,"https://assets.myntassets.com/h_1136,q_90,w_852/v1/assets/images/12278958/2020/9/24/2835f481-d143-4da6-aa87-8cefd00e324a1600931804055-Photo-Finish-Primer-Water-4461600931803981-1.jpg",
