id,label,url,brand,name,skin_type,price ,img,spf,concern,concern2,concern3,key_ingredient,fomula
skincare_1,face-moisturisers,https://www.myntra.com/face-moisturisers/lakme/lakme-absolute-perfect-radiance-skin-lightening-day-creme-15g/4384871/buy,Lakme,Absolute Perfect Radiance Skin Lightening Day Creme 15g,All, Rs. 395.00 ,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/4384871/2021/8/11/44f62cd5-555e-45d2-ba86-05aad086ce001628671666203LakmeAbsolutePerfectRadianceSkinLighteningDayCreme15g1.jpg",,General Care,,,,Cream
skincare_2,face-moisturisers,https://www.myntra.com/face-moisturisers/biotique/biotique-bio-morning-nectar-flawless-sustainable-skin-moisturizer-190ml/1661465/buy,Biotique,Bio Morning Nectar Flawless Sustainable Skin Moisturizer 190ml,All, Rs. 825.00 ,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/1661465/2021/8/11/4ada0a5c-81e7-44bc-b9bf-a5c6eddd01901628671309687BiotiqueBioMorningNectarFlawlessSustainableSkinLotion190ml1.jpg",,Uneven Skin Tone,Hydration,Dark Spots,Honey,Lotion
skincare_3,face-moisturisers,https://www.myntra.com/face-moisturisers/nivea/nivea-unisex-aloe-hydration-skin-cream-100-ml/8529167/buy,Nivea,Unisex Aloe Hydration Skin Cream 100 ml,All, Rs. 460.00 ,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/8529167/2019/4/19/4ce57d8e-3257-4428-adce-0eae7e558b051555656637473-Nivea-Unisex-Hand-and-Feet-Cream-2421555656637210-1.jpg",,Dull Skin,Dryness,General Care,Aloe Vera,Cream
skincare_4,face-moisturisers,https://www.myntra.com/face-moisturisers/vi-john/vi-john-women-set-of-5-saffron-fairness-cream-advanced/15390390/buy,VI-JOHN,Women Set of 5 Saffron Fairness Cream Advanced,All, Rs. 935.00 ,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/15390390/2021/9/7/b1ec71fe-bc6d-4bc0-b347-8a4ff9bdb75b1631007748959VI-JOHNSaffronFairnessCreamAdvancedPackOf550g1.jpg",15 to 30,Softening and Smoothening,Softening and Smoothening,Sun Protection,Vitamin E,Cream
skincare_5,face-moisturisers,https://www.myntra.com/face-moisturisers/lakme/lakme--peach-milk-soft-creme-150g/7552207/buy,Lakme,Peach Milk Soft Creme 150g,All, Rs. 960.00 ,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/7552207/2021/8/11/16b1fca4-d52b-4cf5-83a7-f9852817e79c1628671501364LakmePeachMilkSoftCreme150g1.jpg",,General Care,,,,Cream
skincare_6,face-moisturisers,https://www.myntra.com/face-moisturisers/biotique/biotique-bio-coconut-whitening--brightening-sustainable-cream-50g/1661415/buy,Biotique,Bio Coconut Whitening & Brightening Sustainable Cream 50g,All, Rs. 585.00 ,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/1661415/2021/2/10/6d0026b5-59d9-488b-859a-a80c009b4c381612953618725BiotiqueBioCoconutWhiteningBrighteningSustainableCream50g1.jpg",,Uneven Skin Tone,Dull Skin,Hydration,Coconut,Cream
skincare_7,face-moisturisers,https://www.myntra.com/face-moisturisers/lakme/lakme-absolute-women-perfect-radiance-skin-lightening-day-creme-50-g/1254169/buy,Lakme,Absolute Women Perfect Radiance Skin Lightening Day Creme 50 g,Normal," Rs. 1,195.00 ","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/1254169/2019/12/2/4947de98-1a37-499d-952b-3c24f99428331575285541146-Lakme-Absolute-Women-Perfect-Radiance-Skin-Lightening-Day-Cr-1.jpg",Below 15,General Care,,,,Cream
skincare_8,face-moisturisers,https://www.myntra.com/face-moisturisers/laneige/laneige-radian-c-cream-30-ml/15078068/buy,LANEIGE,Radian-C Cream 30 ml,All," Rs. 10,070.00 ","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/15078068/2021/9/8/e560d481-d480-454e-98d5-e67adb71c7f91631072663207-LANEIGE-Unisex-Face-Moisturisers-261631072663101-1.jpg",,Dark Spots,Uneven Skin Tone,,,Cream
skincare_9,face-moisturisers,https://www.myntra.com/face-moisturisers/biotique/biotique-bio-morning-nectar-flawless-sustainable-skin-lotion-120ml/1661472/buy,Biotique,Bio Morning Nectar Flawless Sustainable Skin Lotion 120ml,All, Rs. 585.00 ,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/1661472/2021/8/11/a0e94943-abc1-47f8-a3de-442783e87b301628671530500BiotiqueBioMorningNectarFlawlessSustainableSkinLotion120ml1.jpg",,Uneven Skin Tone,Hydration,Dark Spots,Honey,Lotion
skincare_10,face-moisturisers,https://www.myntra.com/face-moisturisers/nivea/nivea-soft-light-moisturizer-with-vitamin-e-100ml/2273976/buy,Nivea,Soft Light Moisturizer with Vitamin E 100ml,All, Rs. 830.00 ,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2273976/2018/4/12/11523536204433-Nivea-Soft-Light-Moisturiser-All-Purpose-Cream-8311523536204091-1.jpg",,General Care,Dryness,Softening and Smoothening,Vitamin E,Cream
skincare_11,face-moisturisers,https://www.myntra.com/face-moisturisers/biotique/biotique-vitamin-c-correcting-and-brightening-treatment-face-moisturizer-50-g/12679484/buy,Biotique,Vitamin C Correcting and Brightening Treatment Face Moisturizer 50 g,Normal, Rs. 735.00 ,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/12679484/2020/10/9/cf03e5f8-7f24-4dda-a7c7-673e764f00e81602217635339-Biotique-Advanced-Organics-Vitamin-C-Correcting-and-Brighten-1.jpg",,General Care,Irregular Textures,Pigmentation,Vitamin C,Cream
skincare_12,face-moisturisers,https://www.myntra.com/face-moisturisers/neutrogena/neutrogena-hydro-boost-emulsion-face-moisturisers-50-g/10337731/buy,Neutrogena,Hydro Boost Emulsion Face Moisturisers 50 g,Dry," Rs. 5,500.00 ","https://assets.myntassets.com/h_1136,q_90,w_852/v1/assets/images/10337731/2020/8/21/64516939-6ad3-4db2-8477-a71064dcbe211598008967441-Neutrogena-Unisex-Hydro-Boost-Emulsion-Face-Moisturisers-50--1.jpg",,General Care,,,,Cream
skincare_13,face-moisturisers,https://www.myntra.com/face-moisturisers/bewakoof-cosmos/bewakoof-cosmos-touch-of-universe-face-moisturizer-with-vitamin-e--magnesium--100gms/15360926/buy,BEWAKOOF COSMOS,Touch of Universe Face Moisturizer with Vitamin E & Magnesium -100gms,Normal, Rs. 870.00 ,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/15360926/2021/9/28/36111fdb-e9b4-4de2-8c65-e99f1a4e7a841632812925783-BEWAKOOF-COSMOS-Touch-of-Universe-Face-Moisturizer-with-Vita-1.jpg",,Dryness,Skin Inflammation,Sun Protection,Vitamin E,Cream
skincare_14,face-moisturisers,https://www.myntra.com/face-moisturisers/olay/olay-total-effects-7-in-one-day-cream-normal-spf-15---50g/13509836/buy,Olay,Total Effects 7 In One Day Cream Normal SPF 15 - 50g,All," Rs. 3,145.00 ","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/13509836/2021/8/11/57cb5012-4555-4d41-86a4-d2f71463fdd51628671623193OlayTotalEffects7InOneDayCreamNormalSPF15-50g1.jpg",15 to 30,Finelines and Wrinkles,Hydration,Softening and Smoothening,Vitamin C,Cream
skincare_15,face-moisturisers,https://www.myntra.com/face-moisturisers/lotus-herbals/lotus-herbals-women-white-glow-skin-whitening--brightening-nourishing-night-creme-40-g/11752736/buy,Lotus Herbals,Women White Glow Skin Whitening & Brightening Nourishing Night Creme 40 g,All, Rs. 955.00 ,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/11752736/2020/9/29/f93ffcd3-bd2b-4dfa-bacf-d1c0f4a4c3a31601377501051-Lotus-Herbals-Women-Face-Moisturisers-8121601377500397-1.jpg",,Pigmentation,,,,Cream
skincare_16,face-moisturisers,https://www.myntra.com/face-moisturisers/biotique/biotique-bio-wheat-germ-youthful-nourishing-night-sustainable-cream-50g/1661469/buy,Biotique,Bio Wheat Germ Youthful Nourishing Night Sustainable Cream 50g,All, Rs. 675.00 ,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/1661469/2021/8/11/ea9d7121-2dd3-4d7b-8ba1-e2864fb8e9a01628671582222BiotiqueBioWheatGermYouthfulNourishingNightSustainableCream51.jpg",,Dryness,Deep Nourishment,Dryness,Almond Oil,Cream
skincare_17,face-moisturisers,https://www.myntra.com/face-moisturisers/mamaearth/mamaearth-bye-bye-blemishes-face-cream-30ml/11081528/buy,Mamaearth,Bye Bye Blemishes Face Cream 30ml,All," Rs. 2,020.00 ","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/11081528/2021/8/11/4eb68cbb-57f1-4ef1-8103-02b63e047ea51628659165422MamaearthByeByeBlemishesFaceCream30ml1.jpg",,Pigmentation,,,Vitamin E,Cream
skincare_18,face-moisturisers,https://www.myntra.com/face-moisturisers/lotus-herbals/lotus-herbals-sustainable-white-glow-day-night-pack-with-facial-wash-60g--60g--100g/1353659/buy,Lotus Herbals,Sustainable White Glow Day Night Pack with Facial Wash 60g + 60g + 100g,Normal," Rs. 2,645.00 ","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/1353659/2021/3/8/bd10f014-ccd3-48d3-98dd-0e29052445811615186275813-Lotus-Herbals-Sustainable-White-Glow-Day-Night-Pack-with-Fac-1.jpg",,General Care,,,,Cream
skincare_19,face-moisturisers,https://www.myntra.com/face-moisturisers/neutriderm/neutriderm-vitamin-e-moisturising-lotion-125ml/13176342/buy,Neutriderm,Vitamin E Moisturising Lotion 125ml,All," Rs. 4,250.00 ","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/productimage/2020/12/7/be9b076d-39e4-4e46-a705-311d2e5a99261607327284710-1.jpg",,General Care,,,,Lotion
skincare_20,face-moisturisers,https://www.myntra.com/face-moisturisers/olay/olay-regenerist-advanced-anti-ageing-micro-sculpting-cream-50-g/10444752/buy,Olay,Regenerist Advanced Anti-Ageing Micro-Sculpting Cream 50 g,Dry," Rs. 5,945.00 ","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/10444752/2021/8/11/9f4a5426-229a-4f2a-a740-986ec82bf6211628659283564OlayRegeneristAdvancedAnti-AgeingMicro-SculptingCream50g1.jpg",,Finelines and Wrinkles,,,,Cream
skincare_21,face-moisturisers,https://www.myntra.com/face-moisturisers/nivea/nivea-men-creme-for-face---body---hands-75-ml/2273979/buy,Nivea,Men Creme for Face - Body - Hands 75 ml,All, Rs. 560.00 ,"https://assets.myntassets.com/h_1136,q_90,w_852/v1/assets/images/2273979/2018/2/1/11517480202766-Nivea-Men-Face-Moisturisers-2931517480202773-1.jpg",,General Care,Dull Skin,Dryness,Vitamin E,Cream
skincare_22,face-moisturisers,https://www.myntra.com/face-moisturisers/ponds/ponds-women-non-oily-fresh-feel-light-moisturiser/7197046/buy,Ponds,Women Non-Oily Fresh Feel Light Moisturiser,All, Rs. 560.00 ,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/7197046/2021/9/29/1b61c841-424c-4842-a92f-4da1d1a43cea1632856561969-Ponds-Women-Non-Oily-Fresh-Feel-Light-Moisturiser-8271632856-1.jpg",,General Care,,,,Cream
skincare_23,face-moisturisers,https://www.myntra.com/face-moisturisers/neutrogena/neutrogena-rapid-wrinkle-repair-night-moisturizer---29-ml/2427948/buy,Neutrogena,Rapid Wrinkle Repair Night Moisturizer - 29 ml,All," Rs. 6,250.00 ","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2427948/2021/8/11/9261d148-53b5-46a1-96a5-c7ae7b0f73271628671612293NeutrogenaRapidWrinkleRepairNightMoisturizer-29ml1.jpg",,Finelines and Wrinkles,Pigmentation,,Retinol,Cream
skincare_24,face-moisturisers,https://www.myntra.com/face-moisturisers/loreal/loreal-paris-white-perfect-whitening--even-tone-night-cream-50ml/236322/buy,LOreal,Paris White Perfect Whitening + Even Tone Night Cream 50ml,All," Rs. 2,060.00 ","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/236322/2021/8/11/bc349239-8864-4895-843a-29aaa708425a1628672978490-LOreal-Paris-White-Perfect-Whitening--Even-Tone-Night-Cream--1.jpg",,Pigmentation,Blackheads and Whiteheads,,,Cream
skincare_25,face-moisturisers,https://www.myntra.com/face-moisturisers/skinkraft/skinkraft-women-oil-balance-moisturizer-for-slightly-oily-skin-45-ml/15345054/buy,SKINKRAFT,Women Oil Balance Moisturizer for Slightly Oily Skin 45 ml,Oily," Rs. 2,495.00 ","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/15345054/2021/9/2/c920ef7d-fdee-4406-93f6-aa44d6ff92881630589192902SKINKRAFT1.jpg",,Excess Oil,,,,Gel
skincare_26,face-moisturisers,https://www.myntra.com/face-moisturisers/biotique/biotique-bio-white-advanced-fairness-treatment-sustainable-face-cream-50-g/2432712/buy,Biotique,Bio White Advanced Fairness Treatment Sustainable Face Cream 50 g,All, Rs. 335.00 ,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2432712/2021/3/8/4677988b-af76-42ae-9051-8f8255d4e6431615186816320-Biotique-Bio-White-Advanced-Fairness-Treatment-Face-Sustaina-1.jpg",,Uneven Skin Tone,Hydration,,LemoJuice,Cream
skincare_27,face-moisturisers,https://www.myntra.com/face-moisturisers/loreal/loreal-paris-white-perfect-clinical-day-anti-spot-whitening-spf-19-pa-cream-50ml/135676/buy,LOreal,Paris White Perfect Clinical Day Anti Spot Whitening SPF 19 PA+++ Cream 50ml,All," Rs. 3,510.00 ","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/135676/2017/6/21/11498046508542-Loreal-White-Perfect-Laser-Whitening-Cream-5071498046508456-1.jpg",15 to 30,Pigmentation,Dull Skin,Dark Spots,,Cream
skincare_28,face-moisturisers,https://www.myntra.com/face-moisturisers/lotus-herbals/lotus-herbals-sustainable-whiteglow-skin-tightening--brightening-gel-creme-with-spf-25-40g/1920200/buy,Lotus Herbals,Sustainable WhiteGlow Skin Tightening Brightening Gel Creme with SPF 25 40g,All, Rs. 910.00 ,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/1920200/2020/10/10/5f2c3eed-16a5-4aa3-bc12-5d71658a16271602272543274LotusHerbalsSustainableWomenWhiteGlowSkinTighteningBrighteni1.jpg",15 to 30,Softening and Smoothening,,,,Gel
skincare_29,face-moisturisers,https://www.myntra.com/face-moisturisers/skinkraft/skinkraft-customized-moisturizer-for-oily-skin---45-ml/15345052/buy,SKINKRAFT,Customized Moisturizer For Oily Skin - 45 ml,Oily," Rs. 2,495.00 ","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/15345052/2021/9/2/00a22bbe-f828-47c0-aed6-6a68b431fcfa1630588600147SKINKRAFT1.jpg",,Excess Oil,Dryness,Hydration,,Gel
skincare_30,face-moisturisers,https://www.myntra.com/face-moisturisers/loreal/loreal-paris-revitalift-moisturizing-anti-ageing-night-cream-50ml/62002/buy,LOreal,Paris Revitalift Moisturizing Anti-ageing Night Cream 50ml,Normal," Rs. 2,535.00 ","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/62002/2018/11/26/5a23f7d9-19f0-4620-b952-3eca4711a3c91543236688492-LOreal-Paris-Women-Revitalift-Night-Cream-4301543236687444-1.jpg",,Skin Sagging,Hydration,,Retinol,Cream
skincare_31,face-moisturisers,https://www.myntra.com/face-moisturisers/lakme/lakme-peach-milk-moisturiser-with-spf-24-200ml/7197213/buy,Lakme,Peach Milk Moisturiser with SPF 24 200ml,All," Rs. 1,485.00 ","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/7197213/2018/10/31/71642cb0-8f6e-4388-aab6-d6030c9329bb1540983745087-Lakme-Women-Sunscreen-4101540983745058-1.jpg",15 to 30,General Care,,,,Lotion
skincare_32,face-moisturisers,https://www.myntra.com/face-moisturisers/bioayurveda/bioayurveda-youth-restore-face-cream--120g/15444678/buy,BIOAYURVEDA,Youth Restore Face Cream- 120g,Normal, Rs. 500.00 ,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/15444678/2021/9/13/b85d2c1b-1346-4230-8be6-7627268755521631540387298FaceMoisturisers1.jpg",,Finelines and Wrinkles,Softening and Smoothening,Uneven Skin Tone,Aloe Vera,Cream
skincare_33,face-moisturisers,https://www.myntra.com/face-moisturisers/lotus-herbals/lotus-herbals-sustainable-professional-phyto-rx-whitening--brightening-night-creme-50g/10365395/buy,Lotus Herbals,Sustainable Professional Phyto-Rx Whitening Brightening Night Creme 50g,All," Rs. 2,095.00 ","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/10365395/2019/9/18/3f479450-dfc8-48f3-a09b-215d4746a6721568799873185-Lotus-Herbals-Professional-Phyto-Rx-Whitening--Brightening-N-1.jpg",,Dull Skin,,,,Cream
skincare_34,face-moisturisers,https://www.myntra.com/face-moisturisers/plum/plum-green-tea-range-mattifying-sustainable-moisturizer-50ml/1460744/buy,Plum,Green Tea Range Mattifying Sustainable Moisturizer 50ml,Oily," Rs. 2,065.00 ","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/1460744/2021/9/25/69197a28-e013-4424-b803-2bb428743e601632536708222PlumGreenTeaMattifyingSustainableMoisturizer50ml1.jpg",,Acne and Blemishes,Blackheads and Whiteheads,Excess Oil,Green Tea,Cream
skincare_35,face-moisturisers,https://www.myntra.com/face-moisturisers/the-face-shop/the-face-shop-unisex-rice--ceramide-moisturizing-emulsion-150-ml/9113689/buy,The Face Shop,Unisex Rice & Ceramide Moisturizing Emulsion 150 ml,All," Rs. 3,560.00 ","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/9113689/2021/8/11/fd6c832a-14cc-414b-8903-0779a1ca0d791628659023997TheFaceShopUnisexRiceCeramideMoisturizingEmulsion150ml1.jpg",,Dryness,Dull Skin,Deep Nourishment,Ceramides,Lotion
